date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:17	18161/18161	---M-Z	200	added ('OK')	text/html	etag:W/%2246f1-CZb5zvAVFmQ022/iKoKWutSRR2w%22	https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio	C:/Users/admin/Desktop/New%20Crop%20Dr/start.microsoftapp.net/start5321.html	(from )
10:00:19	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Dec%202022%2004:30:14%20GMT	https://start.microsoftapp.net/robots.txt		(from )
10:00:24	15086/15086	---M--	200	added ('OK')	image/png	etag:0x8DABBE409418FBB	https://sapphire.azureedge.net/readme/website/20221101-1/images/favicon-microsoft.png	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/images/favicon-microsoft.png	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:25	155764/155764	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE40A2600B8	https://sapphire.azureedge.net/readme/website/20221101-1/css/bootstrap.min.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/bootstrap.min.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:26	23733/23733	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE40AC20214	https://sapphire.azureedge.net/readme/website/20221101-1/css/style_ms.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/style_ms.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:28	8150/8150	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE40A98123B	https://sapphire.azureedge.net/readme/website/20221101-1/css/magnific-popup.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/magnific-popup.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:28	141125/141125	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE40A4913C9	https://sapphire.azureedge.net/readme/website/20221101-1/css/materialdesignicons.min.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/materialdesignicons.min.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:29	10374/10374	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE40B363628	https://sapphire.azureedge.net/readme/website/20221101-1/css/pe-icon-7-stroke.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/pe-icon-7-stroke.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:30	1142/1142	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE409B3EF36	https://sapphire.azureedge.net/readme/website/20221101-1/css/owl.carousel.min.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/owl.carousel.min.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
10:00:31	1743/1743	---MCZ	200	added ('OK')	text/css	etag:0x8DABBE409BA2FD3	https://sapphire.azureedge.net/readme/website/20221101-1/css/owl.theme.css	C:/Users/admin/Desktop/New%20Crop%20Dr/sapphire.azureedge.net/readme/website/20221101-1/css/owl.theme.css	(from https://start.microsoftapp.net/start?pc_campaign=Prime_cbanner_new&adjust=8qyganh_k6s6qio)
